Estados;Criticidad;Tarea;Descripción;Inicio;Previsto;Final;Duración;Retraso;Asignado;KANBAN
COMPLETADO;URGENTE;REQ001-4: Bloqueo del sistema por 30 segundos tras 3 intentos fallidos;Bloquear tras 3 intentos fallidos.;06/12/2025;12/12/2025;12/12/2025;7 días;0 días;Kevin Castillo;Tarea 23
COMPLETADO;URGENTE;REQ002: Gestion de Comandas;Crear y registrar pedidos.;06/12/2025;12/12/2025;12/12/2025;7 días;0 días;Ismael Silva;Tarea 24
COMPLETADO;URGENTE;REQ002-1: La interfaz debe mostrar todos los productos con precios visibles y un selector de cantidades;Mostrar productos con precios y selector.;06/12/2025;12/12/2025;12/12/2025;7 días;0 días;Ismael Silva;Tarea 25
COMPLETADO;URGENTE;REQ002-2:La comanda debe permitir recolectar datos del pedido, incluyendo nombre del cliente, platos, cantidades y precios;Capturar datos del cliente y pedido.;06/12/2025;12/12/2025;12/12/2025;7 días;0 días;Ismael Silva;Tarea 26
COMPLETADO;URGENTE;REQ002-3:La interfaz debe incluir un campo para comentarios o peticiones especiales del cliente;Área para peticiones especiales.;06/12/2025;12/12/2025;12/12/2025;7 días;0 días;Ismael Silva;Tarea 27
COMPLETADO;URGENTE;REQ002-3:El resumen debe mostrar la comanda con cálculo automático del precio total;Mostrar comanda y total automático.;06/12/2025;12/12/2025;12/12/2025;7 días;0 días;Ismael Silva;Tarea 28
COMPLETADO;URGENTE;REQ002-3:El botón de confirmación debe generar y guardar la comanda en la base de datos;Guardar comanda en BD.;06/12/2025;12/12/2025;12/12/2025;7 días;0 días;Ismael Silva;Tarea 29
COMPLETADO;URGENTE;REQ003: Visualizacion de Comandas;Pantalla para gestión en cocina.;15/12/2025;21/12/2025;21/12/2025;7 días;0 días;Cristian Becerra;Tarea 30
COMPLETADO;URGENTE;"REQ003-1:La pantalla debe mostrar dos secciones: ""Pedidos en Proceso"" en rojo y ""Pedidos Listos"" en verde";"Secciones ""En Proceso"" y ""Listos"".";15/12/2025;21/12/2025;21/12/2025;7 días;0 días;Cristian Becerra;Tarea 31
COMPLETADO;URGENTE;REQ003-2:Los pedidos deben organizarse en orden de llegada;Organizar pedidos por orden de entrada.;15/12/2025;21/12/2025;21/12/2025;7 días;0 días;Cristian Becerra;Tarea 32
COMPLETADO;URGENTE;REQ003-3:Cada pedido debe mostrar detalles completos de la comanda;Mostrar toda la información del pedido.;15/12/2025;21/12/2025;21/12/2025;7 días;0 días;Cristian Becerra;Tarea 33
COMPLETADO;URGENTE;"REQ003-4:El botón ""Realizado"" debe cambiar pedidos de ""en proceso"" a ""Realizados""";Cambiar estado del pedido.;15/12/2025;21/12/2025;21/12/2025;7 días;0 días;Cristian Becerra;Tarea 34
COMPLETADO;URGENTE;REQ003-5:Los cambios deben reflejarse en tiempo real al actualizar el estado;Reflejar cambios sin recargar.;15/12/2025;21/12/2025;21/12/2025;7 días;0 días;Cristian Becerra;Tarea 35
COMPLETADO;IMPORTANTE;Maquetado del primer sprint;Diseño visual de las interfaces para las funcionalidades del primer ciclo.;03/12/2025;03/12/2025;03/12/2025;1 días;0 días;Ismael Silva;Tarea 36
EN PROGRESO;IMPORTANTE;Caja blanca caja negra primer sprint;Pruebas de software realizadas sobre las funcionalidades del primer sprint.;26/11/2025;03/12/2025;03/12/2025;8 días;0 días;Cristian Becerra, Kevin Castillo;Tarea 37
EN PROGRESO;IMPORTANTE;Revisión del primer sprint;Sesión de demostración de avances con el equipo y stakeholders.;12/12/2025;12/12/2025;12/12/2025;1 días;0 días;Ing. Jenny Ruiz;Tarea 38
EN PROGRESO;URGENTE;Tercera entrevista con el cliente ;Conversación para recabar nuevos requerimientos y retroalimentación.;19/12/2025;19/12/2025;19/12/2025;1 días;0 días;Cristian Becerra, Kevin Castillo, Ismael Silva;Tarea 39
COMPLETADO;URGENTE;Funcionalidades segundo sprint ;Requisitos del segundo ciclo de desarrollo.;22/12/2025;06/01/2026;06/01/2026;16 días;0 días;Cristian Becerra, Kevin Castillo, Ismael Silva;Tarea 40
COMPLETADO;URGENTE;REQ004: Reportes de ventas ;Módulo para generar informes de ventas del restaurante.;22/12/2025;24/12/2025;24/12/2025;3 días;0 días;Kevin Castillo;Tarea 41
COMPLETADO;URGENTE;REQ004-1: Generar reportes diarios ;Crear reportes del total de ventas por día.;22/12/2025;24/12/2025;24/12/2025;3 días;0 días;Kevin Castillo;Tarea 42
COMPLETADO;URGENTE;REQ004-2: Calcular y mostrar total ;Mostrar el monto total de ventas de cada día.;22/12/2025;24/12/2025;24/12/2025;3 días;0 días;Kevin Castillo;Tarea 43
COMPLETADO;URGENTE;REQ004-3: Incluir datos ;Reporte debe incluir fecha, productos y monto por transacción.;22/12/2025;24/12/2025;24/12/2025;3 días;0 días;Kevin Castillo;Tarea 44
COMPLETADO;URGENTE;REQ004-4: Generar reporte ;Permitir descargar reporte en formato PDF.;22/12/2025;24/12/2025;24/12/2025;3 días;0 días;Kevin Castillo;Tarea 45
COMPLETADO;URGENTE;REQ005: Actualizacion de credenciales;Módulo para modificar usuario y contraseña.;26/12/2025;29/12/2025;29/12/2025;4 días;0 días;Cristian Becerra;Tarea 46
COMPLETADO;URGENTE;REQ005-1: Crear un aparado en pantalla de cambio de usurio ;Interfaz para que el usuario modifique su nombre de acceso.;26/12/2025;29/12/2025;29/12/2025;4 días;0 días;Cristian Becerra;Tarea 47
COMPLETADO;URGENTE;REQ005-2: El sistema debera validar el sistema a traves de preguntas;Autenticar al usuario con preguntas de seguridad antes de permitir cambios.;26/12/2025;29/12/2025;29/12/2025;4 días;0 días;Cristian Becerra;Tarea 48
COMPLETADO;URGENTE;REQ005-3: Apartado de cambio de contraseñas;Interfaz para que el usuario modifique su contraseña.;26/12/2025;29/12/2025;29/12/2025;4 días;0 días;Cristian Becerra;Tarea 49
COMPLETADO;URGENTE;REQ005-4: Creacion de boton guardar cambios ;Botón para confirmar y almacenar las nuevas credenciales.;26/12/2025;29/12/2025;29/12/2025;4 días;0 días;Cristian Becerra;Tarea 50
COMPLETADO;URGENTE;REQ006: Gestion de roles de usuario ;Sistema para administrar permisos de acceso.;24/12/2025;26/12/2025;26/12/2025;3 días;0 días;Ismael Silva;Tarea 51
COMPLETADO;URGENTE;REQ006-1: Implementar la logica de restriccion de acceso dependiendo el rol;Desarrollar la funcionalidad que limita las acciones según el tipo de usuario.;24/12/2025;26/12/2025;26/12/2025;3 días;0 días;Ismael Silva;Tarea 52
COMPLETADO;URGENTE;REQ006-2: Definir y configurar los roles en el sistema ;Establecer los roles (Administrador, Cocina, Cajero) y sus permisos.;24/12/2025;26/12/2025;26/12/2025;3 días;0 días;Ismael Silva;Tarea 53
COMPLETADO;URGENTE;REQ006-3 Diseñar y desarrolar un formulario de gestion de usurios;Crear una interfaz para asignar y modificar roles de los usuarios.;24/12/2025;26/12/2025;26/12/2025;3 días;0 días;Ismael Silva;Tarea 54
COMPLETADO;IMPORTANTE;Maquetado de requisitos sprint 2 ;Diseño visual de las interfaces para las nuevas funcionalidades del segundo ciclo.;01/01/2026;01/01/2026;01/01/2026;1 días;0 días;Ismael Silva;Tarea 55
COMPLETADO;IMPORTANTE;Caja blanca caja negra primer sprint 2;Pruebas de software realizadas sobre las funcionalidades del segundo sprint.;04/01/2026;04/01/2026;04/01/2026;1 días;0 días;Cristian Becerra, Kevin Castillo;Tarea 56
COMPLETADO;URGENTE;Entrevista N4 con el cliente;Cuarta sesión de validación y ajuste de requerimientos.;06/01/2026;06/01/2026;06/01/2026;1 días;0 días;Cristian Becerra, Kevin Castillo, Ismael Silva;Tarea 57
COMPLETADO;IMPORTANTE;Diagrama de casos de uso;Modelo gráfico que representa las interacciones entre los usuarios y el sistema.;09/01/2026;09/01/2026;09/01/2026;1 días;0 días;Cristian Becerra;Tarea 58
COMPLETADO;IMPORTANTE;Diagrama de casos de clases ;Modelo estático que muestra las clases principales del sistema y sus relaciones.;09/01/2026;09/01/2026;09/01/2026;1 días;0 días;Kevin Castillo;Tarea 59
COMPLETADO;IMPORTANTE;Diagrama de secuencia de analisis;Modelo dinámico que ilustra el orden de interacción entre objetos para un caso de uso específico.;09/01/2026;09/01/2026;09/01/2026;1 días;0 días;Ismael Silva;Tarea 60
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
COMPLETADO;NORMAL;"Resultados de las pruebas finales Stakeholder de desarrollo 
y de la organizaciòn";"Realizar el Informe de Resultados de 
las pruebas finales ";30/01/2025;30/01/2025;30/01/2025;1 días;0 días;Ruben Arroyo;Tarea 84
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
